path,string
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024103\3024103-ABS.ZA95-40-AKS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024103 ABS.ZA95-40-AKS Depth Filter Cartridge (3024103)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Spring   O-Ring / Gasket /  Silicon        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024104\3024104-ABS.ZA95-40-EHE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024104 ABS.ZA95-40-EHE Depth Filter Cartridge (3024104)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Fin   O-Ring / Gasket /  EPDM        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024105\3024105-ABS.ZA95-40-YYP-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024105 ABS.ZA95-40-YYP Depth Filter Cartridge (3024105)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Gasket   Adapter 2 Gasket   O-Ring / Gasket /  Santoprene        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 18 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024106\3024106-ABS.ZA95-9.875-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024106 ABS.ZA95-9.875-AAE Depth Filter Cartridge (3024106)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024107\3024107-ABS.ZA95-9.875-EHV-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024107 ABS.ZA95-9.875-EHV Depth Filter Cartridge (3024107)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Fin   O-Ring / Gasket /  Viton        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024108\3024108-ABS.ZA95-9.875-ESE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024108 ABS.ZA95-9.875-ESE Depth Filter Cartridge (3024108)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  EPDM        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024109\3024109-ABS.ZA95-9.875-ESS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024109 ABS.ZA95-9.875-ESS Depth Filter Cartridge (3024109)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  Silicon        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024110\3024110-ABS.ZA95-9.875-FSS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024110 ABS.ZA95-9.875-FSS Depth Filter Cartridge (3024110)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 226   Adapter 2 Flat end   O-Ring / Gasket /  Silicon        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024111\3024111-ABS.ZA95-9.875-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024111 ABS.ZA95-9.875-AAS Depth Filter Cartridge (3024111)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 0.5   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 79/8   Length in cm 25.1   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024188\3024188-ABS.ZA01-19.5-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024188 ABS.ZA01-19.5-AAS Depth Filter Cartridge (3024188)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 19.5   Length in cm 49.5   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
